0 0.000000
1 0.000000
2 0.000000
3 0.000000
4 0.000000
5 0.000000
6 0.000000
7 0.000000
8 0.000000
9 0.000000
10 0.000000
11 0.000000
12 0.000000
13 0.000000
14 0.000001
15 0.000003
16 0.000009
17 0.000021
18 0.000046
19 0.000096
20 0.000192
21 0.000366
22 0.000665
23 0.001156
24 0.001927
25 0.003084
26 0.004744
27 0.007028
28 0.010041
29 0.013849
30 0.018465
31 0.023826
32 0.029783
33 0.036101
34 0.042472
35 0.048538
36 0.053932
37 0.058305
38 0.061373
39 0.062947
40 0.062947
41 0.061412
42 0.058487
43 0.054407
44 0.049461
45 0.043965
46 0.038231
47 0.032537
48 0.027114
49 0.022134
50 0.017707
51 0.013888
52 0.010683
53 0.008063
54 0.005972
55 0.004344
56 0.003103
57 0.002177
58 0.001502
59 0.001018
60 0.000679
61 0.000445
62 0.000287
63 0.000182
64 0.000114
65 0.000070
66 0.000042
67 0.000025
68 0.000015
69 0.000009
70 0.000005
71 0.000003
72 0.000002
73 0.000001
74 0.000000
75 0.000000
76 0.000000
77 0.000000
78 0.000000
79 0.000000
80 0.000000
81 0.000000
82 0.000000
83 0.000000
84 0.000000
85 0.000000
86 0.000000
87 0.000000
88 0.000000
89 0.000000
90 0.000000
91 0.000000
92 0.000000
93 0.000000
94 0.000000
95 0.000000
96 0.000000
97 0.000000
98 0.000000
99 0.000000
100 0.000000
101 0.000000
102 0.000000
103 0.000000
104 0.000000
105 0.000000
106 0.000000
107 0.000000
108 0.000000
109 0.000000
110 0.000000
111 0.000000
112 0.000000
113 0.000000
114 0.000000
115 0.000000
