15  0 
45  0 
75  0 
105  0 
135  0 
165  0 
195  0 
225  2 
255  3 
285  11 
315  14 
345  14 
375  18 
405  32 
435  43 
465  35 
495  38 
525  46 
555  50 
585  62 
615  49 
645  32 
675  34 
705  33 
735  51 
765  28 
795  22 
825  53 
855  68 
885  68 
915  75 
945  110 
975  50 
1005  21 
1035  17 
1065  7 
1095  17 
1125  13 
1155  13 
1185  8 
1215  9 
1245  9 
1275  14 
1305  17 
1335  4 
1365  8 
1395  6 
1425  18 
1455  21 
1485  6 
1515  8 
1545  2 
1575  10 
1605  5 
1635  14 
1665  7 
1695  8 
1725  6 
1755  21 
1785  2 
1815  8 
1845  8 
1875  8 
1905  13 
1935  7 
1965  8 
1995  2 
2025  13 
2055  7 
2085  10 
2115  6 
2145  6 
