起きてから５分以内にあなたの見た夢の５０％は記憶から消える。,1,YES,NO
食物不足の前に睡眠不足で人は死ぬ。,1,YES,NO
結婚しているカップルの２組に１組は別々のベッドで眠っている。,2,YES,NO
男性は夢を見るときその７０％は別の男性に関するものだが、女性は別の女性と男性についてそれぞれ同じ割合で夢に見る。,1,YES,NO
人々のうち２５％は黒と白のモノクロの夢を見ている。,2,YES,NO
コアラは１日に１５時間寝る。,2,YES,NO
イルカは眠るとき、脳の半分だけが眠っている。,1,YES,NO
なんと３０代の男性の内50人に一人が寝小便をしている。,2,YES,NO
睡眠にはノンレム睡眠とレム睡眠の２種類がある。,1,YES,NO
レム睡眠は脳が休息して筋肉は活動してる状態である。,2,YES,NO
レム睡眠は脳が活動し、体が休んでる状態のことである。,1,YES,NO
１２時頃眠りはじめると一番効率よく成長ホルモンがゲットできる。,2,YES,NO
寝付けない、すぐ目が覚める、目覚めが悪いなどの原因は寝室や寝具の温度・湿度に関係している。,1,YES,NO
一般的に、夢を見るのはレム睡眠の間だと言われている。,1,YES,NO
良質な眠りのために入浴はとても効果的である。,1,YES,NO

